payment_uuid,payment_date,amount,payment_method,policy_id
0e22731f-2952-4165-b75c-b5bec53351c0,29-11-2023,43623,Credit Card,977
52aee334-9a09-46c5-b7c3-ebfc8fc1b741,06-05-2022,10431,Debit Card,961
0387110b-9fbe-4dd7-bd26-cc710dc25b24,30-11-2019,11007,Credit Card,178
5f13830b-70d2-47d9-9aa7-0f3a9e01d2d8,20-09-2024,30039,Debit Card,242
11bf8b0b-ef3c-48f0-b6e0-77fdcaaae6b0,17-02-2020,25864,Cash,743
69f8c52c-06ab-4500-af36-c832b3a6a892,16-09-2023,23887,Debit Card,739
44c18234-01a3-43de-aafa-3fe59c1bcbe3,30-07-2021,10679,Cash,181
1c5ed0f3-d51b-4652-b6e9-b0fb450c6d8f,10-10-2023,30687,Net Banking,293
558c55dd-3dfa-4fa2-8846-92088540d2cb,17-12-2020,29245,Debit Card,279
c669a043-82bc-4485-aed9-54113d9d3258,31-03-2021,43259,Cash,82
726ebd63-ad68-481a-afb5-987246547cf7,30-09-2020,47600,Net Banking,408
59281335-eb96-4308-acb9-48c465a34b60,19-01-2024,19508,Cash,452
1c5b0019-565d-4670-9d4b-9e7316a0680b,14-02-2023,21712,UPI,753
45dc40a2-8068-4422-8ddd-326048d1c2bb,18-02-2022,22238,Debit Card,840
b645dfc7-3b95-402e-8935-41dfe0ee16a8,02-05-2024,47734,Cash,21
36e80501-877a-43f2-9c50-0303ded86918,06-12-2019,38335,Cash,875
ab8c35fa-6323-4626-ba55-e273b43d5233,26-08-2021,5078,Net Banking,610
2d61547e-212b-45b8-908c-826514de52bb,16-03-2023,27323,UPI,745
90e78f20-fdf0-45cd-a7b8-a7a98c266e78,22-05-2020,9609,Cash,475
02509e4e-eada-4590-b6dc-d38330a4343e,26-03-2022,15987,Net Banking,385
9db529b2-7b4f-4967-afe9-e0cb78074787,30-10-2022,28545,Cash,74
5c39ec85-180f-49a6-ac20-850ad7c76455,21-05-2022,17328,Cash,201
bdf310c5-d624-4617-81bb-dc46be4144c0,08-12-2021,8582,Debit Card,5
e2efcb20-ba41-4ad1-85db-a5f82e68e131,07-01-2020,1629,UPI,748
a50c6290-dc63-464e-b808-873b877e9ebb,09-05-2021,36542,Cash,415
23e811eb-cc19-400a-8447-899a1aa8e48b,25-06-2020,46359,Cash,994
d624f517-8ae9-4a4f-8fb4-2a873ea936f8,18-11-2022,37368,Cash,502
dbe50c4a-753f-426f-bcc4-9a92a1e23a71,20-01-2023,16083,UPI,73
1385290f-a6df-49e7-928b-ed360586319e,20-08-2022,21031,Credit Card,944
48504a9f-c423-48b6-aa7a-12cd2bde4af6,20-12-2019,7099,UPI,167
95ad2d59-a3b9-4b59-9b2f-56245d66be0c,26-07-2022,10517,Cash,981
676ceffa-cfa3-465d-9e4d-d1196d893b79,31-03-2024,13508,Net Banking,522
91b9f974-f503-47b6-91cb-c66c557ed05f,11-03-2022,35747,Net Banking,714
f646b881-3b0e-4ccc-b81c-df5f7dda494b,27-07-2024,3828,Cash,949
7e21810b-71ab-443a-9e83-eb361c7e092f,12-05-2022,21778,Debit Card,249
785b926c-8565-4d8c-8240-5fe85a79053c,28-05-2020,24409,Net Banking,647
54812d2e-73c0-4b03-8463-8a10e10f16db,09-02-2022,35621,Credit Card,715
202c7184-2c19-4733-aa3a-91337ac6d815,27-08-2024,33618,Debit Card,268
89d2dd8b-68b6-4043-b7b8-f2216df034fc,01-05-2021,30666,Debit Card,261
608957f0-83ce-4549-b9d0-0dbe4f4f3fca,17-11-2020,13123,UPI,975
d4ac3302-dfce-4d07-924f-389fe784a2ab,17-05-2024,33468,Debit Card,13
7e62e88c-a3b3-4203-9a8a-d5175f692fbd,15-09-2021,6720,Credit Card,660
3d201bfe-b8d8-4b3d-8648-8e0874a44475,05-08-2022,35869,Cash,408
0b02310c-1d4e-4bb1-ab8e-15f610c1ff40,21-03-2023,35597,Credit Card,531
aa5fb4cc-184a-429b-90eb-650451089e05,03-02-2020,45588,Cash,170
d2408cf1-14df-4320-912d-d3815fc12d1a,09-12-2020,41658,Net Banking,709
a896adbe-0631-4dd2-90f1-bb2d5743882d,12-12-2020,15809,UPI,675
850ea2ff-0b87-4e72-af3d-b314fb99ea9a,17-10-2021,44446,UPI,316
db42357c-1ca0-48e2-acb2-d9ad510434f1,01-11-2022,36963,Credit Card,112
3487b078-9b6a-4d00-bb06-732f9c52eab3,06-05-2020,32173,Net Banking,834
fe8f87ad-b2d7-41fd-8002-6d1cd9bc6b12,01-07-2020,7993,Debit Card,953
1c649088-4d99-4188-86c5-6f3bd573766c,13-12-2023,37666,Net Banking,7
1ba27cd9-53fb-470d-99c7-2b88b4a9c4cd,10-05-2022,49364,Cash,2
12b3b4f9-92a9-4798-94d3-02a4ce0d2c20,24-02-2024,5747,Cash,538
c014c531-73e1-453f-bc51-d025e56ce26e,04-04-2023,21425,Net Banking,751
0beaa7fc-2113-4a88-b54e-c7cc29a983b0,31-05-2021,22117,Debit Card,384
73daecb8-83b0-4497-bad9-4d094d01493e,03-05-2023,10134,Debit Card,203
69f72d56-e432-4995-9150-9487cd8c11ed,12-11-2021,24837,UPI,972
2346b491-46fc-415c-8605-d41958c22665,25-05-2024,6402,UPI,834
0c3c90cf-1926-4a34-afc9-c933b655f4a7,12-03-2020,11416,Debit Card,61
8b175613-ab0d-4930-a163-ecd078f5f1bb,12-10-2022,37746,Debit Card,266
d32d310a-11fd-4a31-8ff3-08c440296855,21-05-2024,49164,Cash,452
d96820d1-b842-44da-986c-1b1f81b3ca33,15-12-2021,31715,UPI,112
03ed7f7a-82a8-4b56-aa43-dc15968abd91,18-02-2023,43550,Debit Card,82
395a5d8f-24cc-4305-9286-c63c53111514,01-02-2020,15363,Cash,128
cfa4ffa9-5cca-4829-9e1e-2b19a3bca732,03-11-2023,14561,Net Banking,31
184a28f6-c735-4828-a5b5-4ad79ffd17c1,08-11-2019,29697,Cash,497
afca4497-b26d-4f8d-a54c-36e71e50efc0,14-01-2022,33967,Credit Card,10
be8e2ac0-64e4-4d82-856e-710d008ea493,01-10-2021,3992,Credit Card,682
2291edf2-6427-4922-8f87-10397c889e6b,02-09-2022,29540,Credit Card,100
6851a2de-c96c-42cf-873d-2fdf7f1052eb,10-09-2020,11342,Credit Card,385
0a2c8baa-3d1b-4f28-81c2-6c93375306f8,11-12-2023,30546,Net Banking,955
bd9d2c41-8640-4e2f-9468-e1c63137df28,27-12-2022,24810,Net Banking,619
85941b79-f9f5-4e14-b651-d9e5bbcfbfb4,06-06-2021,22043,Net Banking,699
926455ab-a3a6-4496-8517-6a0cb432d31e,26-06-2020,44617,Net Banking,837
2883fb80-7722-4eda-9500-17d2c55bc3c9,11-07-2023,12740,Net Banking,682
2ed7da93-d003-49af-b89a-72eafe4f062d,02-03-2021,20525,UPI,59
282900f7-f448-4595-b7b1-927d39973cd5,24-05-2023,48790,Net Banking,826
6eb32ba3-6c1f-4544-a0e3-23aa9abdb003,11-05-2020,5909,Cash,892
d1add5e8-898e-4611-bab6-be4c3886552a,01-02-2020,35217,Debit Card,27
f352affd-1adc-4d2c-bc91-26dbc9ece925,28-05-2024,30494,UPI,287
267d5435-583f-4c04-abab-8b715cd96da0,14-01-2022,47602,Debit Card,378
9fcff08c-cd47-48d0-8489-ae674e3ac8e9,31-07-2022,23144,Cash,528
fac90349-9cc4-4ac3-831d-4a036d96d253,07-03-2023,21243,Debit Card,4
6c262052-163e-4c74-8951-87a803820784,06-07-2021,49323,Net Banking,18
9263b075-1ac1-4da4-9005-88b5466f3c47,14-06-2020,32055,Credit Card,993
a674ed46-092e-488b-a83c-6c76c56e251e,08-12-2021,40570,Net Banking,695
e8c8a73e-962a-492a-92f3-e6d5876261b3,09-08-2023,22771,UPI,497
499af7cc-a700-41f8-9c5c-e18d68a3fb50,07-03-2023,20608,UPI,814
ed12bb1b-6794-48e7-a0ec-977e1f600684,08-09-2020,4987,Cash,962
b2a0b539-4a79-4d2d-b6de-75633ce9fa66,30-04-2021,46643,Cash,675
c5d5f42c-ec5d-4703-8334-35c8e331553e,23-05-2023,42998,Credit Card,752
c0eaa043-0474-47cb-8ba5-d84c57acdde4,29-08-2022,19858,UPI,200
8cbc22f3-ca88-4585-a3ff-d82e6c000dd0,24-03-2020,35885,UPI,898
34a1e599-943d-4627-a73e-e0130a5e9ac6,16-04-2024,29023,UPI,33
d4a87c76-a1ec-43cc-93ca-41fa6be193d1,10-05-2024,7265,Credit Card,309
b5f04325-43bc-42fe-b702-16033ebed4ae,10-12-2023,41785,UPI,896
9793577e-2411-4ec9-aa61-56d506f76e67,12-11-2022,23873,Cash,978
f62afa90-e059-4b9c-af02-6cdc30250623,26-08-2022,6668,UPI,247
6cd72cd4-8f3b-4a0b-a2f2-849e6601a3e5,07-02-2024,12924,Debit Card,772
79f6b1ec-d0c3-4efb-afed-cb56effbed2b,11-07-2022,47266,Credit Card,109
b19944f9-2cef-4c66-8869-2fe0a6a061a5,16-06-2021,22310,Credit Card,165
f3ee3729-df29-49fd-aca9-7b5b29a41808,28-10-2023,46521,Net Banking,925
c2293b56-56f1-46f5-98cd-d4248ed76e86,10-11-2023,19791,Net Banking,226
b963b1ca-aae7-4049-97bf-e50c9d2eadba,21-05-2024,36240,Cash,975
deedb258-fa69-4b40-85ba-2380602d40aa,26-02-2024,44978,Credit Card,682
2410d84a-38a8-40fa-b586-bbb894d42670,29-06-2020,7652,UPI,649
6411dbaa-3708-4215-871b-09c2283341fc,05-06-2023,36545,Credit Card,815
ed3cbdd1-843d-45fc-9350-dac094942623,15-05-2023,34897,Debit Card,955
64757085-abc1-4572-8f70-7b401dbfc729,07-03-2024,29223,UPI,67
11d31d81-2eb1-45c1-8740-21bd071f9260,03-03-2020,32555,Cash,933
cec49b21-f389-410c-b4b6-aaa19faa2361,31-03-2023,36155,Cash,670
5f760dc2-c427-47f1-b662-8217d2d2f079,11-08-2022,32463,UPI,990
3ead0967-1b44-433a-83fa-207e322d0914,19-06-2020,42951,Debit Card,229
1b0326d1-c570-4a64-a876-913ac9688d9f,10-09-2020,13696,Net Banking,90
b3771fec-5982-4442-84ad-2fdf321e3a57,08-09-2024,6458,Net Banking,759
495d8a65-9112-472b-8bb9-42d43b3977a4,22-06-2024,30018,Debit Card,763
f7d53c36-c402-44c2-a70a-9b55495bc59f,13-02-2024,47158,UPI,377
2518f0bc-ea5e-4d5f-ab61-9c6ee71bb056,06-07-2024,7243,Net Banking,977
1d0eaee8-73da-41cb-9775-aab5cd79373e,04-08-2023,19630,Credit Card,319
6a51e8b6-2da6-412a-8958-62b0d7402d3a,27-03-2022,4032,UPI,195
8d5f149a-a27b-4908-bdab-d6aecf2609f7,18-05-2022,42509,Cash,328
0f9f9250-c187-4f94-b0fa-46781250f864,04-11-2023,38793,Debit Card,533
0090ca4c-1061-4c19-9d3a-9be613da1607,15-06-2021,33523,UPI,228
38fb7ea5-f748-4380-a3f4-0510a864ae11,04-05-2021,6223,Credit Card,552
35477e5d-a1d5-4bf0-aa18-7d7cf058d51b,06-07-2020,42766,Net Banking,149
a8ad07dc-5b11-4608-bdf0-d2eb871b21e9,03-11-2023,40991,Net Banking,858
98b6db1c-371d-4e68-9251-30c83809a5c2,27-08-2023,11726,Cash,151
c72989d6-c2b8-43eb-bfdb-332c894dfc86,17-02-2024,30472,Debit Card,765
ba86517d-f8a2-49ab-a3d5-13e0d67b9932,20-07-2022,33602,Credit Card,614
b4011ab5-f000-436f-8f65-ad7717e35b55,19-04-2022,16687,UPI,706
af62b6c4-f4e7-4281-9d72-3087b4507d67,05-07-2022,7050,UPI,490
023df18d-beba-4215-807a-e00a213c9759,23-09-2023,31923,Debit Card,507
ee29321b-462c-494c-a2bd-e776db64a063,25-03-2022,15283,Cash,61
e03c0d2c-7447-4909-9c9b-ae9b2f1af39d,11-11-2023,49076,Net Banking,157
cd7b78e5-d79c-4b33-bf42-735ed31da338,25-09-2023,41566,Debit Card,869
af04a915-c21f-4d54-a0c6-1c3be9c4eed7,01-01-2020,36900,Debit Card,718
5f94d48c-3fa9-44ff-9b0a-b603701e4327,06-03-2023,37051,Debit Card,878
35920b06-f497-48db-be51-06b7fbae1a6b,21-02-2020,24888,Cash,307
95007e02-1419-4e94-9969-65eb19bdaaad,26-03-2024,49235,Debit Card,23
962510bf-ff80-4b75-92ee-19500c83465b,17-09-2022,27849,Net Banking,433
76eaa604-3944-4d7a-a728-8d393a64409a,09-09-2022,34217,Net Banking,776
6a2659ab-ae32-45db-90bd-01938c7a66f5,01-07-2024,20177,Credit Card,541
a6edc0fc-0034-4e62-a001-cda835a144f0,13-02-2024,36611,Net Banking,714
0628f394-079a-4e62-baf9-e4002f03f39b,04-06-2021,46230,UPI,404
cc76aeec-cb6b-47f4-967a-ffe26666e96f,16-06-2022,5769,Net Banking,771
a2fa0ea2-0a4d-471c-9cea-3bde3772705a,25-05-2024,39773,Credit Card,871
305aa1ac-3063-48a3-a72d-b4f05cde8b39,23-12-2022,46794,Net Banking,469
ac552ba1-cff3-4a09-90c3-88801c362059,29-04-2023,33077,UPI,141
700bcf92-88c1-4847-9c14-452d755d086e,20-03-2022,22652,Cash,299
b1e1f132-bb75-441e-9926-2b8b24712ded,09-10-2021,44964,Debit Card,224
4b94e9b4-0e59-47e6-bc5c-c0cd6e145e1e,21-03-2021,40414,Debit Card,753
440fe9d1-42d8-4625-9200-0b0f27c782f6,09-10-2023,32911,Net Banking,744
d87c2ba6-f755-49ea-886f-57f84d3d9b30,28-11-2022,42951,Credit Card,695
10923521-afc2-4e41-9239-ddefbec3fe38,04-06-2022,39489,Debit Card,386
fa451ed6-374a-48fc-bbce-ee228f314e4a,02-07-2020,47570,Cash,696
9026cdc6-0b27-42bf-a6f9-f83cebb55c26,28-05-2020,42241,Credit Card,99
0bd524b3-8e01-45ff-9b9f-4efff01ecb71,16-07-2022,18424,Cash,184
14af7956-8986-4d9f-80a9-fd90116f480a,04-06-2023,47308,Credit Card,528
feafcdbd-f7ec-4201-b30b-139834a65976,24-11-2022,32855,UPI,445
27a5f6b8-9e9f-4b8d-87fd-0a11bd7d8c3a,30-01-2021,48517,Cash,251
8f4d6d07-e201-46b1-8d48-1ac8a1d5bb9c,28-10-2023,2666,Debit Card,407
3f4998d9-0a27-44c3-ae2b-ac0f1cc093ac,31-08-2023,24943,UPI,978
0acca6f0-ca36-428a-b2ba-5151d85a7345,28-03-2020,9452,Cash,795
c5fc6213-8733-494a-965e-ee9a6a8769be,09-07-2020,34898,Credit Card,797
fbd8864d-b430-4c57-8608-f75637eb97dd,24-09-2022,23720,Cash,282
096619f6-7a55-4f9a-917a-e7ec1f4f00d4,22-01-2023,31984,Cash,377
35949443-e15f-4d00-82df-01d1500a6e06,06-03-2021,1569,Credit Card,85
5eeee8d4-fe38-43de-ac2c-fe0d0de48a2b,12-02-2023,6981,UPI,231
eabb22e3-b6eb-4ddc-9d2f-2c9013e5b367,19-03-2023,2128,UPI,587
f3e28db0-1715-4f73-bc65-149da9877816,08-08-2024,24495,Credit Card,814
0c15252e-6aec-4a5e-aa67-7fae95ec1ec3,17-05-2024,30051,Cash,496
1e6d662f-a89d-4113-8500-4eaec6ce98ab,29-06-2020,49998,Cash,306
cd24a5d2-682a-42a6-8ace-7aa7f39c0667,24-05-2024,29000,Credit Card,334
9e6ccc35-0882-4731-a4db-5aad8875ea9a,14-04-2020,4111,UPI,190
66876f7c-e8d9-48e5-a2d9-6e83195c435d,05-12-2022,20861,Credit Card,404
6295f5b6-b277-4e6b-a4cc-a21ba49daa2f,14-11-2020,28247,UPI,803
1cde83d1-30b5-421f-9cb7-e81133261508,20-08-2023,40798,Cash,66
9f22c653-3009-46cf-87cc-ef6b3a1d3abf,20-10-2024,26426,UPI,552
aa6784af-26f5-4ac2-8ee5-79fa2328115d,27-01-2021,35974,Credit Card,772
f698b0a2-dc54-4e49-bc95-01d81c903164,11-01-2020,37896,Credit Card,186
8fa1842d-1dce-4723-b80c-92c0369fb144,09-03-2020,43238,Debit Card,6
b324c40d-d005-4064-9d90-dd4d9ec27fc5,20-07-2024,28181,Net Banking,126
3aaef979-9d93-4eaa-903d-5c643bc76f18,29-07-2022,2918,UPI,212
d5b55457-eccb-40cf-a97f-ede2f18351ef,20-12-2021,32979,Credit Card,576
37b050f9-d7da-497b-9800-8343bd497090,10-03-2023,13581,Credit Card,87
0cef1e93-8c58-4589-986c-b92a8b4337a8,29-10-2021,49016,UPI,306
96b96314-9edd-42a4-91bd-ada74dbaf936,01-09-2020,18814,UPI,176
bcc94aad-490c-4e0f-bbd1-90bf2f180de4,25-05-2023,21730,Credit Card,255
43622383-a39a-4355-9528-09ffe743b477,01-03-2022,15729,UPI,927
ed91d119-2800-48d7-9cdb-3360e90ea229,13-04-2023,39357,UPI,456
f6db2de3-3d7a-4e79-8545-2d7c1af2e84c,19-02-2020,7853,Cash,712
332783d7-67ea-4e59-91ce-2fe762d14fc1,15-03-2023,16334,Net Banking,621
42879a57-63ae-4839-948f-e19e4f9eeb74,22-03-2023,27372,Debit Card,705
4d3305bc-1ac2-403b-bbc5-661d0b898320,07-06-2022,5851,Credit Card,243
138328f7-97ee-4de8-aa4f-af1f43b25d45,07-08-2024,2800,Debit Card,307
2107e904-91de-45a8-80da-f06b40fb3d44,06-07-2021,42948,Debit Card,981
2ead135d-ec51-4dfb-b07c-57f65a7b1164,03-03-2021,7576,UPI,222
b33f3651-c450-4a0a-9611-42185d4ca3dd,31-10-2021,29997,Net Banking,132
01e4e2a0-c995-4781-9444-09e1db80ba09,05-12-2023,36726,Cash,77
a741c788-00b0-43f3-bcee-89ea85a7ad85,25-08-2022,27943,Net Banking,391
b78ed129-35d5-4b79-85fe-25075c403d6b,07-08-2022,32839,Debit Card,410
7d5653cf-6947-4151-9838-e56b71749bdf,20-05-2024,23347,Net Banking,693
5c43c677-3f52-4800-9eb2-f4a3ed5deaa2,05-08-2021,21842,Debit Card,549
791771c7-2a32-4a62-bcf4-9e075b029c5e,08-03-2024,10984,Net Banking,649
5cf17ce2-5132-433b-a248-c16fd8948d21,25-03-2024,35143,Debit Card,732
57194f4f-a300-4871-98b3-3cd11f0daf35,08-07-2021,19235,UPI,620
55ea41a5-6a1f-4047-9d4e-24ed41328fc2,18-09-2021,9038,Debit Card,324
f44fe9fe-2a3a-4feb-a6b8-73cb96f83e2a,24-09-2021,49630,Cash,389
58474fc6-6e4d-4368-a057-9e4b31449fe7,23-07-2020,2270,UPI,254
378e440a-7127-4895-9fd4-6f68ce6bad65,16-01-2022,4799,Credit Card,545
f016f434-852f-4f11-80fb-bbc0bed789cd,30-09-2024,6390,UPI,417
a748c4d0-4e1d-4a7a-b91e-f71c5019dd8f,02-12-2021,4232,Credit Card,372
debe8e3c-f7dc-4f4d-ad05-092644cfc970,12-02-2021,45553,Net Banking,150
255bfdda-4415-47de-9a00-394f4f57c53d,05-11-2022,43574,Debit Card,281
456db260-437a-44cb-83b9-af1f3c62fa0e,26-03-2022,1483,Cash,993
3fa92761-cc76-45e0-8fb6-ac0c6f55639b,25-02-2024,11889,Credit Card,802
19e7f3b6-56c3-4a0b-a351-588dbabae186,25-07-2022,46356,Debit Card,540
b39e6ee4-660b-4065-9740-bb08e6fb3e9b,19-09-2024,36688,Net Banking,603
868d18e6-1151-4376-81fb-4aab72034167,15-03-2021,41246,Cash,98
c3c164fc-d82a-49e0-940b-873c264ad088,26-01-2024,26919,UPI,887
797934b2-24ac-4f1b-990d-7914a29d3948,13-04-2021,14818,Net Banking,623
89164931-b773-4831-9bd9-0001fdfd5c35,14-11-2019,5854,Credit Card,175
1fc2538c-659b-4bf4-a41f-de9c09198e34,25-02-2023,16582,Cash,186
a93dacb8-2604-4cf4-9162-c8669ae27d70,16-06-2023,17913,UPI,565
3578ed5f-f42d-4716-a645-f19a1760a3ae,02-07-2023,30136,Cash,489
cbfc1084-9332-4d13-93c6-2d614fa2550a,17-07-2022,30023,Net Banking,10
639b3c2b-2322-458a-97d5-5128f15d11ad,27-07-2021,34646,Debit Card,674
b2e7cd9d-b928-418b-8f92-7129a9f7d443,01-01-2022,7192,Cash,582
095de903-68a9-4213-a17d-f08a21bd1cbf,21-01-2024,37036,Credit Card,941
d1c4a734-82b6-4404-a940-9bcce74155dc,14-08-2023,36546,Net Banking,725
ade13f57-08b5-4aaa-9a45-67c967d6d117,19-07-2020,39099,UPI,429
98f8ff8d-ffb6-4426-85f5-a0dadf2fbbed,06-02-2020,35633,Debit Card,450
d4133773-4d83-4106-8697-5563d48c280e,17-08-2024,49326,Cash,515
7f8c13d3-57dd-4cf7-9ccb-73083817c779,26-12-2019,15054,Cash,534
074884f4-df1e-4e65-9384-54cc641505ad,26-12-2019,47142,Debit Card,313
e049960d-83fa-4aeb-ab82-e2dad047330f,03-02-2021,32146,Credit Card,971
e9014d2e-8b79-4d6d-90ef-c6255d529711,15-05-2024,15977,Net Banking,866
9686626a-43d9-4933-8e6f-49c487881d93,03-07-2020,5417,Credit Card,79
c0eda0bf-506e-4947-8ad7-b8ea532366e9,21-10-2019,36768,Credit Card,170
2d19ec21-7468-49df-9d6b-a4ad4dd58890,19-02-2020,29191,Credit Card,762
09d6d76f-ad10-4568-bc69-a1f75ef407e4,20-12-2019,15007,Cash,828
fa6c1766-a8c2-4294-a14b-67b9b50d010f,19-07-2021,43843,Cash,694
c8ce1d00-df7c-4f7f-b185-aa7646709d3a,25-03-2021,25925,Debit Card,492
25154f10-6e41-49cb-a52c-daf57643c7f9,12-05-2023,25392,UPI,715
54e4aa7c-93b3-4990-ba49-ca7f746d6c4f,14-03-2023,7110,Credit Card,632
d5b8ab7e-b945-417f-bc93-c66b963ec49e,14-04-2023,10319,Credit Card,732
b5d92be1-f08e-4fb7-adf8-9849780daada,26-07-2020,21824,UPI,768
5b0043e5-8a24-42f9-81c6-2866ce67c71c,09-10-2023,17908,UPI,701
83390fb2-2de0-4464-8b9f-e3251d50e3cc,28-07-2024,30850,UPI,460
299b5059-1057-412e-abb3-c7879b569740,30-11-2019,48268,UPI,926
f427e351-b6e4-4244-ac86-0d73c5520c3f,15-02-2024,12028,Credit Card,376
c63bd979-20cf-4e2f-8f25-035cc95f0b82,25-02-2024,42131,UPI,362
9f3817b4-7119-41a4-9e35-71664f7c4048,04-04-2023,47672,Cash,508
5c4f1b98-214e-4f37-8da4-ea3609c95b85,26-12-2021,19576,Net Banking,994
f1e3990f-55e9-4d63-b116-5ad79ba9b5f8,05-06-2022,6548,Debit Card,852
8b169224-a46e-4fdb-a281-b5bd6e3fb9e4,27-09-2024,27417,Credit Card,298
3c3cad5f-73e8-4b34-841e-4a35922f98d6,23-05-2020,15660,Net Banking,272
316508db-afa9-4614-9c3c-c38efebd5a92,18-02-2023,11440,UPI,404
192dbd0b-3c6c-4813-8aa8-a1f10750928a,09-01-2021,11656,Net Banking,952
c76581ee-586d-4363-b45e-cdc9a067e160,03-01-2024,46722,UPI,846
dea2ba0f-df2a-4c99-94cb-f3a8665efd0d,09-12-2023,44777,Cash,914
076d4a42-85a4-46fe-b5df-92afce3ea231,29-04-2023,31270,Cash,59
4d806147-c918-43d9-a779-0b355f739f27,29-09-2022,18431,UPI,472
e3217731-0a88-4492-93f5-712b5dd4b321,31-10-2019,17099,Net Banking,110
1dbb2c20-0630-4cfb-9065-5a94a67d05c3,21-01-2021,1253,Debit Card,412
ff728038-13ae-457c-9ffa-a0dfad2199f2,24-04-2022,18372,Credit Card,442
b741d47a-4668-499a-b2c7-ce4a8ebf2526,06-03-2021,25110,Credit Card,542
8c5a85b5-f6b6-4c80-950e-43e2f9e78d66,26-10-2022,26202,Debit Card,421
ecec7778-029f-438c-a346-dc1513f160a1,01-05-2020,7068,Cash,8
